order_id,order_date,product_id,quantity,warehouse_id,customer_region,category,price,cost,city,capacity,shipment_id,supplier_id,ship_date,expected_delivery_date,delivery_date,delay,supplier_name,country,lead_time_days,revenue
23,2023-04-21,152,15,4,DE-North,Home,241,160,Hamburg,6906,23,27,2023-04-22,2023-04-24,2023-04-26,2,Supplier_27,Poland,9,3615
24,2023-09-21,290,13,5,DE-North,Industrial,107,62,Hamburg,8086,24,27,2023-09-22,2023-09-27,2023-09-27,0,Supplier_27,Poland,9,1391
25,2023-08-24,268,17,7,DE-North,Industrial,318,211,Berlin,13152,25,10,2023-08-25,2023-09-03,2023-09-07,4,Supplier_10,Germany,5,5406
26,2023-03-24,151,8,7,DE-North,Home,84,192,Berlin,13152,26,16,2023-03-27,2023-04-05,2023-04-08,3,Supplier_16,Germany,5,672
27,2023-02-11,207,9,3,DE-West,Industrial,296,65,Munich,11882,27,24,2023-02-13,2023-02-18,2023-02-16,-2,Supplier_24,Poland,14,2664
28,2023-04-11,255,9,2,DE-West,Electronics,54,278,Hamburg,11949,28,23,2023-04-12,2023-04-17,2023-04-20,3,Supplier_23,Poland,3,486
29,2023-01-06,141,8,1,DE-West,Industrial,326,89,Hamburg,12673,29,9,2023-01-09,2023-01-13,2023-01-14,1,Supplier_9,Germany,11,2608
30,2023-06-29,96,16,1,DE-West,Automotive,276,284,Hamburg,12673,30,2,2023-07-03,2023-07-08,2023-07-07,-1,Supplier_2,Germany,10,4416
31,2023-10-09,227,7,7,DE-North,Electronics,403,117,Berlin,13152,31,6,2023-10-11,2023-10-20,2023-10-21,1,Supplier_6,Poland,12,2821
32,2023-11-16,193,17,7,DE-West,Electronics,200,109,Berlin,13152,32,5,2023-11-19,2023-11-28,2023-11-26,-2,Supplier_5,Germany,9,3400
33,2023-08-14,118,7,6,DE-West,Automotive,433,240,Frankfurt,18503,33,3,2023-08-16,2023-08-20,2023-08-24,4,Supplier_3,Netherlands,10,3031
34,2023-11-11,5,6,5,DE-North,Home,179,297,Hamburg,8086,34,7,2023-11-14,2023-11-17,2023-11-16,-1,Supplier_7,Czechia,14,1074
35,2023-12-31,243,5,4,DE-West,Industrial,354,70,Hamburg,6906,35,15,2024-01-01,2024-01-07,2024-01-10,3,Supplier_15,Poland,14,1770
36,2023-08-17,21,17,7,DE-West,Automotive,329,273,Berlin,13152,36,21,2023-08-21,2023-08-27,2023-08-30,3,Supplier_21,Netherlands,8,5593
37,2023-10-16,152,8,4,DE-South,Home,241,160,Hamburg,6906,37,6,2023-10-19,2023-10-26,2023-10-25,-1,Supplier_6,Poland,12,1928
38,2023-05-30,128,1,8,DE-West,Electronics,424,193,Munich,10750,38,4,2023-06-01,2023-06-08,2023-06-11,3,Supplier_4,Poland,7,424
39,2023-10-04,124,16,1,DE-South,Home,82,93,Hamburg,12673,39,23,2023-10-08,2023-10-12,2023-10-10,-2,Supplier_23,Poland,3,1312
40,2023-07-17,146,17,4,DE-West,Home,497,110,Hamburg,6906,40,29,2023-07-21,2023-07-23,2023-07-23,0,Supplier_29,Czechia,8,8449
41,2023-03-11,277,3,7,DE-North,Electronics,324,70,Berlin,13152,41,13,2023-03-15,2023-03-22,2023-03-20,-2,Supplier_13,Poland,2,972
42,2023-04-22,152,13,7,DE-West,Home,241,160,Berlin,13152,42,23,2023-04-23,2023-04-30,2023-05-01,1,Supplier_23,Poland,3,3133
43,2023-01-04,111,8,6,DE-North,Industrial,210,61,Frankfurt,18503,43,5,2023-01-05,2023-01-09,2023-01-11,2,Supplier_5,Germany,9,1680
44,2023-12-16,116,16,5,DE-West,Industrial,353,182,Hamburg,8086,44,15,2023-12-19,2023-12-27,2023-12-29,2,Supplier_15,Poland,14,5648
45,2023-11-27,188,7,1,DE-West,Home,329,291,Hamburg,12673,45,7,2023-11-28,2023-12-03,2023-12-07,4,Supplier_7,Czechia,14,2303
46,2023-11-14,57,15,4,DE-North,Industrial,200,109,Hamburg,6906,46,7,2023-11-18,2023-11-25,2023-11-27,2,Supplier_7,Czechia,14,3000
47,2023-12-16,251,2,3,DE-North,Automotive,313,173,Munich,11882,47,10,2023-12-18,2023-12-26,2023-12-30,4,Supplier_10,Germany,5,626
48,2023-04-05,150,2,3,DE-North,Industrial,53,145,Munich,11882,48,13,2023-04-09,2023-04-11,2023-04-10,-1,Supplier_13,Poland,2,106
49,2023-06-01,162,10,6,DE-North,Electronics,429,153,Frankfurt,18503,49,24,2023-06-05,2023-06-13,2023-06-12,-1,Supplier_24,Poland,14,4290
50,2023-11-07,120,5,4,DE-South,Electronics,184,165,Hamburg,6906,50,30,2023-11-08,2023-11-14,2023-11-12,-2,Supplier_30,Germany,4,920
51,2023-05-17,70,4,3,DE-South,Automotive,353,211,Munich,11882,51,11,2023-05-19,2023-05-28,2023-05-27,-1,Supplier_11,Poland,2,1412
52,2023-09-04,99,15,5,DE-North,Automotive,202,71,Hamburg,8086,52,1,2023-09-08,2023-09-11,2023-09-14,3,Supplier_1,Czechia,11,3030
53,2023-08-31,167,13,2,DE-South,Industrial,351,192,Hamburg,11949,53,20,2023-09-02,2023-09-05,2023-09-06,1,Supplier_20,Germany,13,4563
54,2023-01-31,298,17,5,DE-West,Home,97,203,Hamburg,8086,54,11,2023-02-02,2023-02-06,2023-02-09,3,Supplier_11,Poland,2,1649
55,2023-02-09,151,1,6,DE-West,Home,84,192,Frankfurt,18503,55,1,2023-02-13,2023-02-22,2023-02-20,-2,Supplier_1,Czechia,11,84
56,2023-08-17,2,18,5,DE-West,Industrial,434,208,Hamburg,8086,56,3,2023-08-18,2023-08-25,2023-08-26,1,Supplier_3,Netherlands,10,7812
57,2023-02-05,152,15,4,DE-South,Home,241,160,Hamburg,6906,57,8,2023-02-06,2023-02-10,2023-02-12,2,Supplier_8,Czechia,2,3615
58,2023-08-11,65,14,7,DE-South,Home,161,94,Berlin,13152,58,13,2023-08-14,2023-08-18,2023-08-22,4,Supplier_13,Poland,2,2254
59,2023-01-06,69,9,5,DE-West,Industrial,434,183,Hamburg,8086,59,28,2023-01-10,2023-01-14,2023-01-15,1,Supplier_28,Germany,4,3906
60,2023-11-18,121,12,4,DE-North,Industrial,244,258,Hamburg,6906,60,7,2023-11-22,2023-11-30,2023-12-03,3,Supplier_7,Czechia,14,2928
61,2023-08-08,109,5,1,DE-West,Automotive,494,128,Hamburg,12673,61,3,2023-08-10,2023-08-16,2023-08-18,2,Supplier_3,Netherlands,10,2470
62,2023-03-16,247,2,4,DE-South,Electronics,320,53,Hamburg,6906,62,20,2023-03-18,2023-03-23,2023-03-22,-1,Supplier_20,Germany,13,640
63,2023-01-04,93,7,6,DE-West,Automotive,153,119,Frankfurt,18503,63,2,2023-01-07,2023-01-13,2023-01-11,-2,Supplier_2,Germany,10,1071
64,2023-12-01,268,9,4,DE-West,Industrial,318,211,Hamburg,6906,64,18,2023-12-04,2023-12-07,2023-12-07,0,Supplier_18,Germany,7,2862
65,2023-05-14,103,18,1,DE-South,Automotive,415,44,Hamburg,12673,65,5,2023-05-16,2023-05-25,2023-05-29,4,Supplier_5,Germany,9,7470
66,2023-04-28,112,4,7,DE-South,Home,117,205,Berlin,13152,66,29,2023-04-30,2023-05-08,2023-05-09,1,Supplier_29,Czechia,8,468
67,2023-04-04,62,2,2,DE-South,Home,301,124,Hamburg,11949,67,18,2023-04-07,2023-04-10,2023-04-08,-2,Supplier_18,Germany,7,602
68,2023-03-03,300,1,6,DE-South,Industrial,286,214,Frankfurt,18503,68,16,2023-03-04,2023-03-12,2023-03-15,3,Supplier_16,Germany,5,286
69,2023-07-13,136,12,8,DE-West,Electronics,487,184,Munich,10750,69,27,2023-07-16,2023-07-19,2023-07-19,0,Supplier_27,Poland,9,5844
70,2023-12-01,55,13,1,DE-South,Home,490,54,Hamburg,12673,70,7,2023-12-03,2023-12-08,2023-12-06,-2,Supplier_7,Czechia,14,6370
71,2023-07-22,108,14,4,DE-North,Industrial,257,58,Hamburg,6906,71,1,2023-07-26,2023-07-31,2023-07-31,0,Supplier_1,Czechia,11,3598
72,2023-01-26,258,5,6,DE-South,Automotive,311,255,Frankfurt,18503,72,9,2023-01-28,2023-01-30,2023-01-28,-2,Supplier_9,Germany,11,1555
73,2023-06-22,253,3,3,DE-South,Industrial,109,181,Munich,11882,73,15,2023-06-23,2023-06-28,2023-07-02,4,Supplier_15,Poland,14,327
74,2023-10-27,222,4,4,DE-West,Home,449,196,Hamburg,6906,74,26,2023-10-29,2023-11-01,2023-11-03,2,Supplier_26,Poland,12,1796
75,2023-05-13,167,17,1,DE-North,Industrial,351,192,Hamburg,12673,75,1,2023-05-15,2023-05-20,2023-05-20,0,Supplier_1,Czechia,11,5967
76,2023-11-22,160,19,8,DE-North,Industrial,55,210,Munich,10750,76,27,2023-11-25,2023-11-30,2023-12-04,4,Supplier_27,Poland,9,1045
77,2023-04-28,166,11,8,DE-North,Electronics,398,179,Munich,10750,77,17,2023-04-29,2023-05-04,2023-05-02,-2,Supplier_17,Poland,9,4378
78,2023-11-20,205,8,4,DE-South,Industrial,88,239,Hamburg,6906,78,30,2023-11-23,2023-11-27,2023-11-27,0,Supplier_30,Germany,4,704
79,2023-10-02,267,12,7,DE-West,Industrial,193,122,Berlin,13152,79,9,2023-10-06,2023-10-14,2023-10-16,2,Supplier_9,Germany,11,2316
80,2023-07-31,138,18,1,DE-West,Electronics,332,164,Hamburg,12673,80,23,2023-08-04,2023-08-13,2023-08-13,0,Supplier_23,Poland,3,5976
81,2023-08-13,248,18,5,DE-South,Electronics,103,114,Hamburg,8086,81,30,2023-08-14,2023-08-21,2023-08-21,0,Supplier_30,Germany,4,1854
82,2023-01-20,55,9,2,DE-North,Home,490,54,Hamburg,11949,82,15,2023-01-24,2023-02-02,2023-01-31,-2,Supplier_15,Poland,14,4410
83,2023-04-23,209,5,2,DE-North,Automotive,404,272,Hamburg,11949,83,10,2023-04-27,2023-05-04,2023-05-05,1,Supplier_10,Germany,5,2020
84,2023-05-20,17,17,8,DE-West,Industrial,172,223,Munich,10750,84,28,2023-05-22,2023-05-27,2023-05-31,4,Supplier_28,Germany,4,2924
85,2023-02-16,68,13,6,DE-South,Electronics,51,268,Frankfurt,18503,85,20,2023-02-19,2023-02-23,2023-02-27,4,Supplier_20,Germany,13,663
86,2023-01-01,133,6,1,DE-North,Electronics,279,213,Hamburg,12673,86,3,2023-01-04,2023-01-07,2023-01-09,2,Supplier_3,Netherlands,10,1674
87,2023-03-31,188,14,8,DE-South,Home,329,291,Munich,10750,87,28,2023-04-03,2023-04-05,2023-04-08,3,Supplier_28,Germany,4,4606
88,2023-05-22,138,15,2,DE-West,Electronics,332,164,Hamburg,11949,88,5,2023-05-23,2023-05-31,2023-05-29,-2,Supplier_5,Germany,9,4980
89,2023-11-16,174,14,3,DE-South,Industrial,302,183,Munich,11882,89,2,2023-11-18,2023-11-26,2023-11-25,-1,Supplier_2,Germany,10,4228
90,2023-02-07,97,4,6,DE-South,Automotive,161,225,Frankfurt,18503,90,22,2023-02-09,2023-02-18,2023-02-18,0,Supplier_22,Poland,9,644
91,2023-10-20,171,18,3,DE-South,Industrial,237,222,Munich,11882,91,6,2023-10-21,2023-10-27,2023-10-26,-1,Supplier_6,Poland,12,4266
92,2023-05-19,154,1,2,DE-South,Home,66,239,Hamburg,11949,92,16,2023-05-22,2023-05-29,2023-06-01,3,Supplier_16,Germany,5,66
93,2023-12-22,183,12,1,DE-North,Automotive,103,73,Hamburg,12673,93,12,2023-12-24,2023-12-26,2023-12-24,-2,Supplier_12,Netherlands,9,1236
94,2023-11-29,242,9,6,DE-West,Home,391,20,Frankfurt,18503,94,17,2023-12-01,2023-12-10,2023-12-13,3,Supplier_17,Poland,9,3519
95,2023-09-16,285,10,3,DE-North,Automotive,328,281,Munich,11882,95,12,2023-09-19,2023-09-27,2023-09-30,3,Supplier_12,Netherlands,9,3280
96,2023-06-10,27,18,7,DE-North,Automotive,289,119,Berlin,13152,96,26,2023-06-14,2023-06-20,2023-06-24,4,Supplier_26,Poland,12,5202
97,2023-06-27,60,17,2,DE-North,Electronics,148,109,Hamburg,11949,97,25,2023-06-28,2023-07-05,2023-07-06,1,Supplier_25,Germany,11,2516
98,2023-01-10,202,19,4,DE-North,Industrial,348,164,Hamburg,6906,98,17,2023-01-12,2023-01-15,2023-01-17,2,Supplier_17,Poland,9,6612
99,2023-09-18,250,4,3,DE-West,Home,150,58,Munich,11882,99,22,2023-09-21,2023-09-25,2023-09-23,-2,Supplier_22,Poland,9,600
100,2023-05-18,69,16,5,DE-West,Industrial,434,183,Hamburg,8086,100,7,2023-05-22,2023-05-27,2023-05-28,1,Supplier_7,Czechia,14,6944
101,2023-06-21,21,7,6,DE-North,Automotive,329,273,Frankfurt,18503,101,24,2023-06-24,2023-06-28,2023-07-01,3,Supplier_24,Poland,14,2303
102,2023-01-13,152,9,3,DE-South,Home,241,160,Munich,11882,102,16,2023-01-16,2023-01-22,2023-01-26,4,Supplier_16,Germany,5,2169
103,2023-06-17,102,8,6,DE-South,Automotive,433,118,Frankfurt,18503,103,18,2023-06-21,2023-06-30,2023-06-28,-2,Supplier_18,Germany,7,3464
104,2023-05-10,95,7,2,DE-South,Automotive,303,95,Hamburg,11949,104,27,2023-05-11,2023-05-18,2023-05-22,4,Supplier_27,Poland,9,2121
105,2023-03-25,229,10,8,DE-South,Electronics,337,118,Munich,10750,105,8,2023-03-27,2023-04-01,2023-04-04,3,Supplier_8,Czechia,2,3370
106,2023-11-17,125,8,2,DE-South,Electronics,225,272,Hamburg,11949,106,27,2023-11-18,2023-11-27,2023-11-28,1,Supplier_27,Poland,9,1800
107,2023-11-15,258,17,6,DE-West,Automotive,311,255,Frankfurt,18503,107,26,2023-11-16,2023-11-22,2023-11-21,-1,Supplier_26,Poland,12,5287
108,2023-04-11,236,12,2,DE-South,Industrial,112,184,Hamburg,11949,108,30,2023-04-14,2023-04-22,2023-04-23,1,Supplier_30,Germany,4,1344
109,2023-11-25,162,14,1,DE-West,Electronics,429,153,Hamburg,12673,109,18,2023-11-28,2023-12-04,2023-12-06,2,Supplier_18,Germany,7,6006
110,2023-09-30,42,12,6,DE-South,Home,196,182,Frankfurt,18503,110,2,2023-10-03,2023-10-10,2023-10-09,-1,Supplier_2,Germany,10,2352
111,2023-09-22,276,2,1,DE-South,Industrial,368,125,Hamburg,12673,111,9,2023-09-23,2023-10-01,2023-10-05,4,Supplier_9,Germany,11,736
112,2023-02-07,68,12,6,DE-North,Electronics,51,268,Frankfurt,18503,112,23,2023-02-09,2023-02-14,2023-02-14,0,Supplier_23,Poland,3,612
113,2023-04-04,173,14,4,DE-North,Home,240,248,Hamburg,6906,113,24,2023-04-07,2023-04-09,2023-04-08,-1,Supplier_24,Poland,14,3360
114,2023-04-05,125,7,4,DE-North,Electronics,225,272,Hamburg,6906,114,16,2023-04-09,2023-04-18,2023-04-17,-1,Supplier_16,Germany,5,1575
115,2023-11-01,170,13,3,DE-West,Automotive,148,232,Munich,11882,115,17,2023-11-03,2023-11-05,2023-11-05,0,Supplier_17,Poland,9,1924
116,2023-03-10,47,4,2,DE-West,Industrial,466,84,Hamburg,11949,116,10,2023-03-12,2023-03-19,2023-03-18,-1,Supplier_10,Germany,5,1864
117,2023-11-14,261,1,8,DE-North,Electronics,399,131,Munich,10750,117,22,2023-11-16,2023-11-23,2023-11-22,-1,Supplier_22,Poland,9,399
118,2023-08-24,217,17,4,DE-North,Industrial,85,138,Hamburg,6906,118,1,2023-08-28,2023-09-03,2023-09-06,3,Supplier_1,Czechia,11,1445
119,2023-11-30,124,3,2,DE-South,Home,82,93,Hamburg,11949,119,21,2023-12-04,2023-12-07,2023-12-07,0,Supplier_21,Netherlands,8,246
120,2023-05-17,293,17,3,DE-West,Electronics,288,268,Munich,11882,120,18,2023-05-20,2023-05-29,2023-06-01,3,Supplier_18,Germany,7,4896
121,2023-03-17,162,8,1,DE-South,Electronics,429,153,Hamburg,12673,121,15,2023-03-19,2023-03-23,2023-03-23,0,Supplier_15,Poland,14,3432
122,2023-02-04,201,3,4,DE-South,Home,442,211,Hamburg,6906,122,9,2023-02-05,2023-02-07,2023-02-09,2,Supplier_9,Germany,11,1326
123,2023-01-01,275,10,8,DE-North,Electronics,169,266,Munich,10750,123,3,2023-01-02,2023-01-07,2023-01-06,-1,Supplier_3,Netherlands,10,1690
124,2023-10-23,206,2,5,DE-South,Electronics,219,259,Hamburg,8086,124,16,2023-10-24,2023-10-30,2023-10-29,-1,Supplier_16,Germany,5,438
125,2023-11-16,40,4,8,DE-South,Home,452,171,Munich,10750,125,26,2023-11-19,2023-11-23,2023-11-22,-1,Supplier_26,Poland,12,1808
126,2023-03-01,273,14,5,DE-North,Industrial,196,185,Hamburg,8086,126,23,2023-03-02,2023-03-09,2023-03-11,2,Supplier_23,Poland,3,2744
127,2023-11-16,188,11,5,DE-North,Home,329,291,Hamburg,8086,127,15,2023-11-18,2023-11-26,2023-11-29,3,Supplier_15,Poland,14,3619
128,2023-12-15,93,14,7,DE-South,Automotive,153,119,Berlin,13152,128,2,2023-12-18,2023-12-22,2023-12-26,4,Supplier_2,Germany,10,2142
129,2023-11-24,42,13,5,DE-South,Home,196,182,Hamburg,8086,129,10,2023-11-27,2023-12-03,2023-12-02,-1,Supplier_10,Germany,5,2548
130,2023-09-24,107,4,5,DE-South,Automotive,212,76,Hamburg,8086,130,4,2023-09-28,2023-10-02,2023-10-02,0,Supplier_4,Poland,7,848
131,2023-12-27,65,2,5,DE-West,Home,161,94,Hamburg,8086,131,26,2023-12-29,2024-01-01,2024-01-01,0,Supplier_26,Poland,12,322
132,2023-08-17,135,2,5,DE-South,Home,100,48,Hamburg,8086,132,19,2023-08-18,2023-08-24,2023-08-24,0,Supplier_19,Germany,11,200
133,2023-09-27,24,11,4,DE-North,Industrial,147,269,Hamburg,6906,133,17,2023-09-29,2023-10-06,2023-10-06,0,Supplier_17,Poland,9,1617
134,2023-11-12,28,5,5,DE-South,Automotive,193,199,Hamburg,8086,134,10,2023-11-14,2023-11-18,2023-11-22,4,Supplier_10,Germany,5,965
135,2023-10-13,62,9,8,DE-West,Home,301,124,Munich,10750,135,22,2023-10-16,2023-10-20,2023-10-23,3,Supplier_22,Poland,9,2709
136,2023-10-18,273,17,6,DE-South,Industrial,196,185,Frankfurt,18503,136,21,2023-10-19,2023-10-26,2023-10-29,3,Supplier_21,Netherlands,8,3332
137,2023-08-01,229,12,6,DE-West,Electronics,337,118,Frankfurt,18503,137,6,2023-08-02,2023-08-04,2023-08-07,3,Supplier_6,Poland,12,4044
138,2023-06-14,20,18,5,DE-West,Home,343,119,Hamburg,8086,138,30,2023-06-15,2023-06-19,2023-06-20,1,Supplier_30,Germany,4,6174
139,2023-01-05,3,3,7,DE-North,Electronics,452,211,Berlin,13152,139,1,2023-01-09,2023-01-18,2023-01-18,0,Supplier_1,Czechia,11,1356
140,2023-12-05,218,5,3,DE-South,Electronics,222,84,Munich,11882,140,11,2023-12-07,2023-12-11,2023-12-13,2,Supplier_11,Poland,2,1110
141,2023-03-19,136,14,4,DE-West,Electronics,487,184,Hamburg,6906,141,16,2023-03-22,2023-03-30,2023-04-02,3,Supplier_16,Germany,5,6818
142,2023-03-03,3,16,8,DE-South,Electronics,452,211,Munich,10750,142,24,2023-03-06,2023-03-15,2023-03-18,3,Supplier_24,Poland,14,7232
143,2023-05-12,193,19,6,DE-West,Electronics,200,109,Frankfurt,18503,143,20,2023-05-15,2023-05-17,2023-05-18,1,Supplier_20,Germany,13,3800
144,2023-03-30,73,9,8,DE-North,Electronics,86,118,Munich,10750,144,7,2023-03-31,2023-04-06,2023-04-09,3,Supplier_7,Czechia,14,774
145,2023-08-25,118,17,3,DE-North,Automotive,433,240,Munich,11882,145,24,2023-08-26,2023-09-03,2023-09-07,4,Supplier_24,Poland,14,7361
146,2023-02-11,154,7,2,DE-South,Home,66,239,Hamburg,11949,146,3,2023-02-14,2023-02-23,2023-02-22,-1,Supplier_3,Netherlands,10,462
147,2023-03-30,209,10,5,DE-South,Automotive,404,272,Hamburg,8086,147,14,2023-04-01,2023-04-03,2023-04-03,0,Supplier_14,Germany,4,4040
148,2023-10-23,34,4,8,DE-South,Automotive,398,23,Munich,10750,148,4,2023-10-26,2023-11-04,2023-11-07,3,Supplier_4,Poland,7,1592
149,2023-11-24,137,10,1,DE-South,Electronics,313,155,Hamburg,12673,149,9,2023-11-26,2023-12-01,2023-11-30,-1,Supplier_9,Germany,11,3130
150,2023-10-22,120,3,8,DE-South,Electronics,184,165,Munich,10750,150,15,2023-10-25,2023-10-30,2023-10-30,0,Supplier_15,Poland,14,552
151,2023-04-14,115,9,7,DE-West,Home,326,152,Berlin,13152,151,12,2023-04-16,2023-04-25,2023-04-25,0,Supplier_12,Netherlands,9,2934
152,2023-01-14,13,13,8,DE-South,Home,373,88,Munich,10750,152,25,2023-01-17,2023-01-20,2023-01-23,3,Supplier_25,Germany,11,4849
153,2023-10-15,69,1,7,DE-West,Industrial,434,183,Berlin,13152,153,16,2023-10-19,2023-10-23,2023-10-27,4,Supplier_16,Germany,5,434
154,2023-06-28,257,15,7,DE-West,Home,245,73,Berlin,13152,154,23,2023-07-02,2023-07-09,2023-07-10,1,Supplier_23,Poland,3,3675
155,2023-05-05,89,15,5,DE-West,Industrial,124,236,Hamburg,8086,155,19,2023-05-06,2023-05-11,2023-05-11,0,Supplier_19,Germany,11,1860
156,2023-12-19,47,11,8,DE-South,Industrial,466,84,Munich,10750,156,14,2023-12-20,2023-12-26,2023-12-26,0,Supplier_14,Germany,4,5126
157,2023-01-23,260,10,5,DE-North,Home,421,270,Hamburg,8086,157,27,2023-01-24,2023-01-30,2023-01-28,-2,Supplier_27,Poland,9,4210
158,2023-03-04,228,7,3,DE-North,Automotive,371,124,Munich,11882,158,4,2023-03-05,2023-03-12,2023-03-16,4,Supplier_4,Poland,7,2597
159,2023-05-23,180,1,7,DE-South,Home,67,33,Berlin,13152,159,23,2023-05-26,2023-06-04,2023-06-08,4,Supplier_23,Poland,3,67
160,2023-06-02,10,7,7,DE-South,Automotive,247,105,Berlin,13152,160,29,2023-06-06,2023-06-11,2023-06-13,2,Supplier_29,Czechia,8,1729
161,2023-05-25,284,5,7,DE-South,Home,367,53,Berlin,13152,161,6,2023-05-26,2023-05-28,2023-06-01,4,Supplier_6,Poland,12,1835
162,2023-08-13,126,16,2,DE-West,Industrial,492,249,Hamburg,11949,162,22,2023-08-15,2023-08-23,2023-08-25,2,Supplier_22,Poland,9,7872
163,2023-11-05,134,8,3,DE-North,Electronics,414,24,Munich,11882,163,11,2023-11-07,2023-11-14,2023-11-13,-1,Supplier_11,Poland,2,3312
164,2023-04-14,155,2,4,DE-North,Electronics,221,145,Hamburg,6906,164,4,2023-04-15,2023-04-18,2023-04-17,-1,Supplier_4,Poland,7,442
165,2023-04-14,248,8,7,DE-North,Electronics,103,114,Berlin,13152,165,26,2023-04-15,2023-04-23,2023-04-24,1,Supplier_26,Poland,12,824
166,2023-02-08,140,14,2,DE-North,Electronics,275,151,Hamburg,11949,166,8,2023-02-09,2023-02-18,2023-02-17,-1,Supplier_8,Czechia,2,3850
167,2023-07-17,176,4,8,DE-West,Automotive,210,166,Munich,10750,167,9,2023-07-20,2023-07-22,2023-07-26,4,Supplier_9,Germany,11,840
168,2023-05-14,174,15,6,DE-South,Industrial,302,183,Frankfurt,18503,168,26,2023-05-16,2023-05-19,2023-05-17,-2,Supplier_26,Poland,12,4530
169,2023-03-08,74,7,2,DE-West,Automotive,209,55,Hamburg,11949,169,23,2023-03-10,2023-03-17,2023-03-16,-1,Supplier_23,Poland,3,1463
170,2023-06-28,143,8,8,DE-South,Industrial,146,294,Munich,10750,170,24,2023-06-30,2023-07-05,2023-07-05,0,Supplier_24,Poland,14,1168
171,2023-02-11,292,11,2,DE-South,Home,50,130,Hamburg,11949,171,26,2023-02-15,2023-02-23,2023-02-22,-1,Supplier_26,Poland,12,550
