shipment_id,order_id,supplier_id,ship_date,expected_delivery_date,delivery_date
202,202,17,2023-06-10,2023-06-12,2023-06-15
203,203,13,2023-02-17,2023-02-21,2023-02-20
204,204,17,2023-11-22,2023-11-30,2023-12-02
205,205,30,2023-11-30,2023-12-07,2023-12-10
206,206,17,2023-06-23,2023-07-02,2023-06-30
207,207,26,2023-05-14,2023-05-21,2023-05-23
208,208,19,2023-04-08,2023-04-17,2023-04-21
209,209,5,2023-04-28,2023-05-07,2023-05-05
210,210,8,2023-09-02,2023-09-11,2023-09-14
211,211,24,2023-10-22,2023-10-26,2023-10-24
212,212,2,2023-10-12,2023-10-15,2023-10-19
213,213,25,2023-10-30,2023-11-08,2023-11-12
214,214,9,2023-10-13,2023-10-20,2023-10-23
215,215,7,2023-03-11,2023-03-13,2023-03-15
216,216,16,2023-06-01,2023-06-07,2023-06-08
217,217,12,2023-01-12,2023-01-17,2023-01-19
218,218,26,2023-09-13,2023-09-21,2023-09-21
219,219,21,2023-11-30,2023-12-04,2023-12-04
220,220,5,2023-12-29,2024-01-07,2024-01-07
221,221,24,2023-02-11,2023-02-19,2023-02-23
222,222,24,2023-05-16,2023-05-24,2023-05-24
223,223,21,2023-07-20,2023-07-29,2023-07-27
224,224,22,2023-01-25,2023-01-29,2023-01-27
225,225,6,2023-11-03,2023-11-09,2023-11-11
226,226,22,2023-12-13,2023-12-16,2023-12-15
227,227,21,2023-10-30,2023-11-08,2023-11-07
228,228,25,2024-01-02,2024-01-06,2024-01-09
229,229,30,2023-08-08,2023-08-12,2023-08-10
230,230,17,2023-05-24,2023-05-29,2023-05-30
231,231,15,2023-04-16,2023-04-22,2023-04-20
232,232,10,2023-08-01,2023-08-07,2023-08-08
233,233,3,2023-04-23,2023-04-25,2023-04-24
234,234,7,2023-04-18,2023-04-24,2023-04-22
235,235,29,2023-11-14,2023-11-21,2023-11-25
236,236,25,2023-06-22,2023-06-27,2023-06-30
237,237,2,2023-12-26,2024-01-02,2024-01-04
238,238,13,2023-11-24,2023-11-30,2023-11-30
239,239,27,2023-05-14,2023-05-16,2023-05-15
240,240,29,2023-10-22,2023-10-27,2023-10-25
241,241,14,2023-11-28,2023-12-02,2023-11-30
242,242,4,2023-05-11,2023-05-20,2023-05-20
243,243,8,2023-04-17,2023-04-20,2023-04-19
244,244,5,2023-04-06,2023-04-10,2023-04-12
245,245,12,2023-10-15,2023-10-17,2023-10-21
246,246,27,2023-02-24,2023-03-01,2023-03-03
247,247,24,2023-01-30,2023-02-03,2023-02-05
248,248,12,2023-10-25,2023-11-03,2023-11-02
249,249,11,2023-10-28,2023-10-30,2023-11-02
250,250,2,2023-08-06,2023-08-13,2023-08-15
251,251,28,2023-09-26,2023-10-04,2023-10-05
252,252,24,2023-09-16,2023-09-20,2023-09-18
253,253,22,2023-10-31,2023-11-08,2023-11-09
254,254,5,2023-04-12,2023-04-15,2023-04-14
255,255,13,2023-12-16,2023-12-23,2023-12-25
256,256,18,2023-04-24,2023-04-28,2023-04-30
257,257,23,2023-07-04,2023-07-08,2023-07-10
258,258,17,2023-11-12,2023-11-16,2023-11-16
259,259,30,2023-01-05,2023-01-07,2023-01-07
260,260,6,2023-11-16,2023-11-21,2023-11-24
261,261,19,2023-02-25,2023-03-03,2023-03-05
262,262,22,2023-06-01,2023-06-03,2023-06-01
263,263,17,2023-11-08,2023-11-15,2023-11-15
264,264,17,2023-05-20,2023-05-28,2023-05-31
265,265,18,2023-07-24,2023-07-30,2023-07-29
266,266,26,2023-11-12,2023-11-20,2023-11-22
267,267,15,2023-04-29,2023-05-06,2023-05-04
268,268,23,2023-06-07,2023-06-13,2023-06-13
269,269,28,2023-10-22,2023-10-26,2023-10-30
270,270,30,2023-03-07,2023-03-14,2023-03-13
271,271,28,2023-09-05,2023-09-08,2023-09-12
272,272,20,2023-01-29,2023-02-04,2023-02-04
273,273,4,2023-04-02,2023-04-09,2023-04-12
274,274,4,2023-03-18,2023-03-27,2023-03-30
275,275,5,2023-10-22,2023-10-29,2023-10-28
276,276,15,2023-07-30,2023-08-05,2023-08-07
277,277,2,2023-12-16,2023-12-20,2023-12-18
278,278,11,2023-01-18,2023-01-27,2023-01-31
279,279,23,2023-05-11,2023-05-14,2023-05-15
280,280,3,2023-12-31,2024-01-08,2024-01-08
281,281,11,2023-09-12,2023-09-16,2023-09-20
282,282,3,2023-07-02,2023-07-10,2023-07-08
283,283,11,2023-07-02,2023-07-08,2023-07-09
284,284,29,2023-06-05,2023-06-12,2023-06-14
285,285,2,2023-01-29,2023-02-07,2023-02-10
286,286,22,2023-07-02,2023-07-04,2023-07-03
287,287,20,2023-07-21,2023-07-29,2023-07-31
288,288,20,2023-12-11,2023-12-18,2023-12-16
289,289,15,2023-06-14,2023-06-22,2023-06-20
290,290,8,2023-06-29,2023-07-08,2023-07-08
291,291,28,2023-10-13,2023-10-21,2023-10-24
292,292,2,2023-03-07,2023-03-13,2023-03-14
293,293,23,2023-06-03,2023-06-05,2023-06-06
294,294,18,2023-06-07,2023-06-16,2023-06-16
295,295,22,2023-06-09,2023-06-14,2023-06-17
296,296,29,2023-02-20,2023-02-23,2023-02-25
297,297,21,2023-12-06,2023-12-13,2023-12-14
298,298,8,2023-03-26,2023-04-03,2023-04-07
299,299,22,2023-12-31,2024-01-08,2024-01-11
300,300,12,2023-06-28,2023-07-03,2023-07-07
301,301,23,2023-05-30,2023-06-08,2023-06-10
302,302,6,2023-05-01,2023-05-10,2023-05-09
303,303,24,2023-12-12,2023-12-16,2023-12-14
304,304,2,2023-03-07,2023-03-13,2023-03-12
305,305,12,2023-07-12,2023-07-21,2023-07-21
306,306,23,2023-12-30,2024-01-04,2024-01-05
307,307,21,2023-02-22,2023-02-25,2023-02-24
308,308,30,2023-11-25,2023-11-27,2023-12-01
309,309,12,2023-09-17,2023-09-19,2023-09-17
310,310,13,2023-08-15,2023-08-19,2023-08-20
311,311,9,2023-05-24,2023-06-02,2023-06-04
312,312,15,2023-08-04,2023-08-12,2023-08-13
313,313,11,2023-07-31,2023-08-04,2023-08-07
314,314,9,2023-11-16,2023-11-22,2023-11-20
315,315,24,2023-02-03,2023-02-11,2023-02-12
316,316,8,2023-06-09,2023-06-14,2023-06-13
317,317,30,2023-10-15,2023-10-21,2023-10-21
318,318,20,2023-11-04,2023-11-06,2023-11-05
319,319,28,2023-10-17,2023-10-26,2023-10-29
320,320,24,2023-05-27,2023-05-29,2023-05-30
321,321,18,2023-01-21,2023-01-28,2023-01-31
322,322,11,2023-01-20,2023-01-25,2023-01-27
323,323,5,2023-09-18,2023-09-24,2023-09-25
324,324,4,2023-03-20,2023-03-28,2023-04-01
325,325,21,2023-06-27,2023-07-01,2023-07-04
326,326,5,2023-07-16,2023-07-25,2023-07-29
327,327,21,2023-04-24,2023-05-03,2023-05-01
328,328,7,2023-04-26,2023-05-01,2023-04-30
329,329,17,2023-08-12,2023-08-19,2023-08-18
330,330,29,2023-06-17,2023-06-21,2023-06-22
331,331,18,2023-11-18,2023-11-26,2023-11-26
332,332,23,2023-05-13,2023-05-18,2023-05-19
333,333,1,2023-09-22,2023-09-26,2023-09-26
334,334,16,2023-02-26,2023-03-01,2023-03-05
335,335,9,2023-12-28,2023-12-30,2023-12-31
336,336,12,2023-05-12,2023-05-19,2023-05-18
337,337,19,2023-10-18,2023-10-23,2023-10-26
338,338,11,2023-09-27,2023-10-04,2023-10-04
339,339,6,2023-06-13,2023-06-21,2023-06-25
340,340,4,2023-03-30,2023-04-07,2023-04-11
341,341,16,2023-02-28,2023-03-03,2023-03-01
342,342,3,2023-10-16,2023-10-25,2023-10-28
343,343,8,2023-06-29,2023-07-04,2023-07-04
344,344,16,2023-12-16,2023-12-18,2023-12-20
345,345,29,2023-01-10,2023-01-17,2023-01-20
346,346,2,2023-11-21,2023-11-23,2023-11-21
347,347,13,2023-11-13,2023-11-17,2023-11-18
348,348,19,2023-09-05,2023-09-12,2023-09-16
349,349,24,2023-11-21,2023-11-23,2023-11-25
350,350,16,2023-09-14,2023-09-21,2023-09-19
351,351,19,2023-11-27,2023-12-04,2023-12-05
352,352,8,2023-02-26,2023-03-06,2023-03-06
353,353,23,2023-09-08,2023-09-10,2023-09-11
354,354,2,2023-08-28,2023-08-30,2023-09-03
355,355,1,2023-08-21,2023-08-27,2023-08-26
356,356,17,2023-03-10,2023-03-16,2023-03-14
357,357,18,2023-02-23,2023-02-25,2023-02-25
358,358,7,2023-04-11,2023-04-19,2023-04-20
359,359,9,2023-04-03,2023-04-10,2023-04-10
360,360,23,2023-09-23,2023-10-01,2023-10-01
361,361,3,2023-10-20,2023-10-27,2023-10-30
362,362,24,2023-04-10,2023-04-16,2023-04-14
363,363,24,2023-04-02,2023-04-10,2023-04-10
364,364,25,2023-03-22,2023-03-27,2023-03-25
365,365,11,2023-10-16,2023-10-23,2023-10-23
366,366,28,2023-05-04,2023-05-07,2023-05-07
367,367,16,2023-10-30,2023-11-02,2023-11-03
368,368,29,2023-06-15,2023-06-21,2023-06-23
369,369,9,2023-07-03,2023-07-11,2023-07-09
370,370,12,2023-08-15,2023-08-18,2023-08-17
371,371,14,2023-11-11,2023-11-17,2023-11-20
372,372,25,2023-01-10,2023-01-14,2023-01-12
373,373,4,2023-11-28,2023-12-07,2023-12-07
374,374,26,2023-09-24,2023-10-01,2023-10-04
375,375,4,2023-06-14,2023-06-16,2023-06-18
376,376,11,2023-06-03,2023-06-06,2023-06-09
377,377,2,2023-03-29,2023-03-31,2023-03-29
378,378,24,2023-05-28,2023-06-06,2023-06-06
379,379,18,2023-04-24,2023-05-02,2023-05-05
380,380,3,2023-02-06,2023-02-09,2023-02-08
381,381,25,2023-10-15,2023-10-24,2023-10-27
382,382,2,2023-07-11,2023-07-16,2023-07-19
383,383,1,2023-03-27,2023-04-01,2023-04-02
384,384,5,2023-01-05,2023-01-11,2023-01-12
385,385,7,2023-10-31,2023-11-02,2023-10-31
386,386,20,2023-07-17,2023-07-23,2023-07-21
387,387,4,2023-01-14,2023-01-18,2023-01-17
388,388,27,2023-08-26,2023-09-04,2023-09-05
389,389,3,2023-07-16,2023-07-22,2023-07-22
390,390,6,2023-04-30,2023-05-07,2023-05-05
391,391,12,2023-01-22,2023-01-30,2023-02-01
392,392,29,2023-09-22,2023-09-29,2023-09-30
393,393,16,2023-10-23,2023-10-29,2023-10-29
394,394,8,2023-09-14,2023-09-23,2023-09-24
395,395,11,2023-08-11,2023-08-17,2023-08-20
396,396,13,2023-08-18,2023-08-21,2023-08-20
397,397,14,2023-02-25,2023-02-28,2023-03-02
398,398,27,2023-12-22,2023-12-26,2023-12-26
399,399,18,2023-12-12,2023-12-14,2023-12-14
400,400,22,2023-12-31,2024-01-05,2024-01-03
401,401,8,2023-10-09,2023-10-17,2023-10-16
402,402,1,2023-03-23,2023-03-25,2023-03-24
403,403,4,2023-07-25,2023-07-30,2023-07-30
404,404,17,2023-06-09,2023-06-12,2023-06-13
405,405,30,2023-05-01,2023-05-10,2023-05-10
406,406,20,2023-03-01,2023-03-09,2023-03-09
407,407,30,2023-08-06,2023-08-12,2023-08-16
408,408,27,2023-05-11,2023-05-18,2023-05-18
409,409,25,2023-08-13,2023-08-17,2023-08-17
410,410,22,2023-07-30,2023-08-07,2023-08-07
411,411,6,2023-04-28,2023-05-02,2023-05-06
412,412,5,2023-07-31,2023-08-07,2023-08-07
413,413,14,2023-01-17,2023-01-21,2023-01-22
414,414,19,2023-01-13,2023-01-15,2023-01-17
415,415,14,2023-02-10,2023-02-13,2023-02-16
416,416,2,2023-08-27,2023-09-04,2023-09-06
417,417,9,2023-10-10,2023-10-13,2023-10-11
418,418,25,2023-12-26,2024-01-01,2024-01-05
419,419,7,2023-07-23,2023-07-31,2023-08-04
420,420,18,2023-09-05,2023-09-12,2023-09-16
421,421,20,2023-10-09,2023-10-16,2023-10-18
422,422,11,2023-08-27,2023-09-05,2023-09-06
423,423,8,2023-01-06,2023-01-08,2023-01-08
424,424,26,2023-06-07,2023-06-13,2023-06-17
425,425,22,2023-01-30,2023-02-04,2023-02-03
426,426,21,2023-04-23,2023-04-26,2023-04-30
427,427,27,2023-04-12,2023-04-16,2023-04-17
428,428,10,2023-08-05,2023-08-13,2023-08-12
429,429,18,2023-10-24,2023-10-31,2023-10-29
430,430,17,2023-03-18,2023-03-24,2023-03-27
431,431,17,2023-11-25,2023-11-30,2023-12-01
432,432,1,2023-05-29,2023-06-02,2023-06-02
433,433,27,2023-05-12,2023-05-16,2023-05-16
434,434,22,2023-12-10,2023-12-16,2023-12-19
435,435,4,2023-02-13,2023-02-19,2023-02-22
436,436,11,2023-12-25,2023-12-31,2024-01-01
437,437,9,2023-02-11,2023-02-20,2023-02-21
438,438,9,2023-02-06,2023-02-09,2023-02-09
439,439,3,2023-01-20,2023-01-29,2023-01-28
440,440,6,2023-06-16,2023-06-23,2023-06-24
441,441,6,2023-06-05,2023-06-14,2023-06-17
442,442,10,2023-03-21,2023-03-28,2023-03-28
443,443,10,2023-03-29,2023-03-31,2023-04-02
444,444,17,2023-04-30,2023-05-07,2023-05-08
445,445,15,2023-12-31,2024-01-06,2024-01-04
446,446,25,2023-12-12,2023-12-21,2023-12-25
447,447,4,2023-01-28,2023-02-04,2023-02-07
448,448,22,2023-11-10,2023-11-13,2023-11-11
449,449,10,2023-10-17,2023-10-25,2023-10-28
450,450,28,2023-05-16,2023-05-18,2023-05-19
451,451,8,2023-08-08,2023-08-16,2023-08-16
452,452,1,2023-06-18,2023-06-27,2023-06-26
453,453,24,2023-04-10,2023-04-15,2023-04-16
454,454,22,2023-09-26,2023-09-28,2023-09-26
455,455,17,2023-08-26,2023-09-04,2023-09-03
456,456,12,2023-11-07,2023-11-16,2023-11-18
457,457,12,2023-06-25,2023-06-28,2023-06-27
458,458,25,2023-07-11,2023-07-14,2023-07-16
459,459,13,2023-05-06,2023-05-13,2023-05-16
460,460,25,2023-02-19,2023-02-21,2023-02-19
461,461,26,2023-03-08,2023-03-10,2023-03-12
462,462,14,2023-05-14,2023-05-21,2023-05-25
463,463,8,2023-11-10,2023-11-19,2023-11-18
464,464,14,2023-12-30,2024-01-07,2024-01-05
465,465,7,2023-07-13,2023-07-16,2023-07-15
466,466,17,2023-11-06,2023-11-09,2023-11-10
467,467,11,2023-07-04,2023-07-13,2023-07-12
468,468,1,2023-10-23,2023-10-28,2023-10-29
469,469,8,2023-10-11,2023-10-14,2023-10-15
470,470,13,2023-01-30,2023-02-02,2023-02-06
471,471,26,2023-05-31,2023-06-04,2023-06-06
472,472,24,2023-09-28,2023-10-02,2023-10-03
473,473,17,2023-10-26,2023-11-04,2023-11-06
474,474,24,2023-01-15,2023-01-19,2023-01-20
475,475,24,2023-06-16,2023-06-25,2023-06-28
476,476,12,2023-04-26,2023-05-02,2023-05-06
477,477,26,2023-07-08,2023-07-15,2023-07-13
478,478,16,2023-10-26,2023-11-01,2023-11-03
479,479,10,2023-08-22,2023-08-25,2023-08-24
480,480,29,2023-08-19,2023-08-23,2023-08-25
481,481,16,2023-11-09,2023-11-16,2023-11-19
482,482,30,2023-04-09,2023-04-14,2023-04-12
483,483,28,2023-02-28,2023-03-05,2023-03-06
484,484,3,2023-04-24,2023-05-02,2023-04-30
485,485,1,2023-06-02,2023-06-07,2023-06-07
486,486,19,2023-09-07,2023-09-10,2023-09-08
487,487,24,2023-03-11,2023-03-18,2023-03-16
488,488,30,2023-11-12,2023-11-16,2023-11-20
489,489,8,2023-10-20,2023-10-23,2023-10-21
490,490,16,2023-09-08,2023-09-16,2023-09-15
491,491,28,2023-02-07,2023-02-15,2023-02-14
492,492,15,2023-08-28,2023-09-06,2023-09-10
493,493,7,2023-05-29,2023-06-07,2023-06-05
494,494,2,2023-08-18,2023-08-21,2023-08-21
495,495,13,2023-09-02,2023-09-07,2023-09-07
496,496,5,2023-12-07,2023-12-11,2023-12-13
497,497,10,2024-01-04,2024-01-10,2024-01-08
498,498,8,2023-07-21,2023-07-30,2023-08-01
499,499,13,2023-06-06,2023-06-15,2023-06-19
500,500,19,2023-03-18,2023-03-20,2023-03-21
501,501,6,2023-07-22,2023-07-25,2023-07-25
502,502,18,2023-10-24,2023-10-28,2023-10-29
503,503,8,2023-01-19,2023-01-21,2023-01-25
504,504,9,2023-05-12,2023-05-14,2023-05-15
505,505,17,2023-08-07,2023-08-15,2023-08-13
506,506,4,2023-03-03,2023-03-09,2023-03-13
507,507,22,2023-04-16,2023-04-22,2023-04-22
508,508,30,2023-02-15,2023-02-24,2023-02-26
509,509,18,2023-01-27,2023-01-30,2023-01-31
510,510,6,2023-02-11,2023-02-14,2023-02-12
511,511,11,2023-10-21,2023-10-30,2023-11-03
512,512,23,2023-05-14,2023-05-23,2023-05-22
513,513,22,2023-08-21,2023-08-25,2023-08-25
514,514,10,2023-04-21,2023-04-29,2023-04-28
515,515,26,2023-06-25,2023-07-01,2023-07-05
